id,geopos,apartments,price,year
1411,"{'type': 'Point', 'coordinates': [37.561293, 55.566318]}",109,236316.0,1993
1412,"{'type': 'Point', 'coordinates': [37.562039, 55.566832]}",104,257020.0,1992
1413,"{'type': 'Point', 'coordinates': [37.56264, 55.566063]}",44,185056.0,1997
1414,"{'type': 'Point', 'coordinates': [37.564123, 55.565646]}",220,207843.0,1992
1415,"{'type': 'Point', 'coordinates': [37.565389, 55.565468]}",41,303314.0,1997
1416,"{'type': 'Point', 'coordinates': [37.559308, 55.558641]}",338,229845.0,2015
1417,"{'type': 'Point', 'coordinates': [37.557268, 55.557948]}",907,325420.0,2017
1418,"{'type': 'Point', 'coordinates': [37.55484887671417, 55.55658260432355]}",417,334568.0,2018
1419,"{'type': 'Point', 'coordinates': [37.559083, 55.557286]}",785,284605.0,2016
1420,"{'type': 'Point', 'coordinates': [37.566961, 55.564964]}",237,231390.0,1992
1421,"{'type': 'Point', 'coordinates': [37.568237, 55.564114]}",86,231961.0,1996
1422,"{'type': 'Point', 'coordinates': [37.569306, 55.563656]}",157,305673.0,1995
1423,"{'type': 'Point', 'coordinates': [37.570429, 55.562882]}",163,229416.0,1996
1424,"{'type': 'Point', 'coordinates': [37.573842, 55.563793]}",190,260766.0,1991
1425,"{'type': 'Point', 'coordinates': [37.574633, 55.564399]}",131,250841.0,1991
1426,"{'type': 'Point', 'coordinates': [37.574929, 55.565162]}",189,304000.0,1991
1427,"{'type': 'Point', 'coordinates': [37.575953, 55.564434]}",248,354131.0,1995
1428,"{'type': 'Point', 'coordinates': [37.57757, 55.564552]}",178,319256.0,1988
1429,"{'type': 'Point', 'coordinates': [37.578675, 55.565442]}",103,229175.0,2002
1430,"{'type': 'Point', 'coordinates': [37.579672, 55.564969]}",201,201092.0,2003
1431,"{'type': 'Point', 'coordinates': [37.580355, 55.56587]}",312,237906.0,2002
1432,"{'type': 'Point', 'coordinates': [37.578612, 55.566181]}",356,291863.0,2002
1433,"{'type': 'Point', 'coordinates': [37.577436, 55.56699]}",98,202756.0,2003
1434,"{'type': 'Point', 'coordinates': [37.577058, 55.565972]}",191,279828.0,2002
1435,"{'type': 'Point', 'coordinates': [37.576403, 55.565137]}",286,291055.0,1988
1436,"{'type': 'Point', 'coordinates': [37.576385, 55.566807]}",217,249560.0,2003
1437,"{'type': 'Point', 'coordinates': [37.573806, 55.568064]}",306,318679.0,2000
1438,"{'type': 'Point', 'coordinates': [37.574642, 55.568924]}",294,203487.0,1991
1439,"{'type': 'Point', 'coordinates': [37.573312, 55.567178]}",145,198047.0,2001
1440,"{'type': 'Point', 'coordinates': [37.571929, 55.566313]}",150,310294.0,1992
1441,"{'type': 'Point', 'coordinates': [37.572405, 55.565605]}",341,266701.0,1992
1442,"{'type': 'Point', 'coordinates': [37.570941, 55.564053]}",115,296240.0,1997
1443,"{'type': 'Point', 'coordinates': [37.567716, 55.565473]}",159,255618.0,1993
1444,"{'type': 'Point', 'coordinates': [37.568129, 55.566445]}",323,228503.0,1992
1445,"{'type': 'Point', 'coordinates': [37.569171, 55.567219]}",164,330119.0,1994
1446,"{'type': 'Point', 'coordinates': [37.566961, 55.567519]}",167,317434.0,1994
1447,"{'type': 'Point', 'coordinates': [37.565326, 55.567122]}",311,293338.0,1992
1448,"{'type': 'Point', 'coordinates': [37.564931, 55.56615]}",161,224350.0,1992
1449,"{'type': 'Point', 'coordinates': [37.56256, 55.567804]}",339,277324.0,1992
1450,"{'type': 'Point', 'coordinates': [37.564168, 55.569443]}",262,242276.0,2001
1451,"{'type': 'Point', 'coordinates': [37.565353, 55.569011]}",163,202168.0,2001
1452,"{'type': 'Point', 'coordinates': [37.563943, 55.568522]}",124,325992.0,1994
1453,"{'type': 'Point', 'coordinates': [37.566126, 55.569494]}",259,209046.0,2001
1454,"{'type': 'Point', 'coordinates': [37.564913, 55.57066]}",252,324890.0,1991
1455,"{'type': 'Point', 'coordinates': [37.564428, 55.570207]}",258,251266.0,1992
1456,"{'type': 'Point', 'coordinates': [37.568399, 55.570976]}",29,211809.0,1995
1457,"{'type': 'Point', 'coordinates': [37.56688, 55.568782]}",212,274522.0,2001
1458,"{'type': 'Point', 'coordinates': [37.568192, 55.568354]}",115,330532.0,2001
1459,"{'type': 'Point', 'coordinates': [37.568821, 55.568777]}",161,304348.0,2001
1460,"{'type': 'Point', 'coordinates': [37.569701, 55.568181]}",167,322552.0,2001
1461,"{'type': 'Point', 'coordinates': [37.570896, 55.567718]}",171,298774.0,2002
1462,"{'type': 'Point', 'coordinates': [37.571938, 55.568543]}",239,301278.0,2002
1463,"{'type': 'Point', 'coordinates': [37.573986, 55.569632]}",44,320285.0,1996
1464,"{'type': 'Point', 'coordinates': [37.574022, 55.570548]}",433,222077.0,1991
1465,"{'type': 'Point', 'coordinates': [37.574822, 55.57011]}",64,261783.0,1991
1466,"{'type': 'Point', 'coordinates': [37.575612, 55.571708]}",219,217566.0,1991
1467,"{'type': 'Point', 'coordinates': [37.574327, 55.571968]}",378,335271.0,1991
1468,"{'type': 'Point', 'coordinates': [37.572791, 55.572324]}",210,328550.0,1990
1469,"{'type': 'Point', 'coordinates': [37.571273, 55.571215]}",433,188986.0,1990
1470,"{'type': 'Point', 'coordinates': [37.57298, 55.571098]}",219,289319.0,1991
1471,"{'type': 'Point', 'coordinates': [37.571983, 55.570792]}",89,327969.0,1991
1472,"{'type': 'Point', 'coordinates': [37.571255, 55.570299]}",25,214024.0,1995
1473,"{'type': 'Point', 'coordinates': [37.570222, 55.5718]}",382,265296.0,1991
1474,"{'type': 'Point', 'coordinates': [37.569225, 55.571479]}",71,322295.0,1991
1475,"{'type': 'Point', 'coordinates': [37.566485, 55.5721]}",90,179593.0,1991
1476,"{'type': 'Point', 'coordinates': [37.569009, 55.572309]}",252,283780.0,1990
1477,"{'type': 'Point', 'coordinates': [37.570078, 55.573017]}",260,222875.0,1990
1478,"{'type': 'Point', 'coordinates': [37.571615, 55.572553]}",149,320817.0,1991
1479,"{'type': 'Point', 'coordinates': [37.57563, 55.574686]}",371,324595.0,1992
1480,"{'type': 'Point', 'coordinates': [37.576367, 55.574584]}",59,320527.0,1995
1481,"{'type': 'Point', 'coordinates': [37.577957, 55.574151]}",330,250020.0,1992
1482,"{'type': 'Point', 'coordinates': [37.575693, 55.570166]}",85,320186.0,1992
1483,"{'type': 'Point', 'coordinates': [37.577669, 55.568512]}",352,339115.0,1991
1484,"{'type': 'Point', 'coordinates': [37.578055, 55.567911]}",141,253295.0,1990
1485,"{'type': 'Point', 'coordinates': [37.579124, 55.568695]}",315,338542.0,1990
1486,"{'type': 'Point', 'coordinates': [37.582008, 55.569057]}",238,192813.0,1990
1487,"{'type': 'Point', 'coordinates': [37.579924, 55.567906]}",293,301906.0,1990
1488,"{'type': 'Point', 'coordinates': [37.583131, 55.568145]}",170,230577.0,1990
1489,"{'type': 'Point', 'coordinates': [37.584218, 55.568476]}",404,214347.0,1990
1490,"{'type': 'Point', 'coordinates': [37.583454, 55.56926]}",151,205631.0,1991
1491,"{'type': 'Point', 'coordinates': [37.587649, 55.569734]}",64,301797.0,1997
1492,"{'type': 'Point', 'coordinates': [37.587883, 55.57007]}",57,246042.0,1997
1493,"{'type': 'Point', 'coordinates': [37.588611, 55.570405]}",65,298101.0,1997
1494,"{'type': 'Point', 'coordinates': [37.588647, 55.569026]}",102,200303.0,1997
1495,"{'type': 'Point', 'coordinates': [37.589464, 55.569255]}",44,240055.0,1997
1496,"{'type': 'Point', 'coordinates': [37.589752, 55.569566]}",58,274915.0,1997
1497,"{'type': 'Point', 'coordinates': [37.590344, 55.568787]}",70,317068.0,1997
1498,"{'type': 'Point', 'coordinates': [37.588242, 55.567331]}",421,236629.0,1990
1499,"{'type': 'Point', 'coordinates': [37.587632, 55.568313]}",200,289975.0,1993
1500,"{'type': 'Point', 'coordinates': [37.58605, 55.567871]}",365,335905.0,1990
1501,"{'type': 'Point', 'coordinates': [37.583787, 55.566242]}",346,293059.0,1990
1502,"{'type': 'Point', 'coordinates': [37.585242, 55.566461]}",240,228026.0,1990
1503,"{'type': 'Point', 'coordinates': [37.584972, 55.565458]}",160,193819.0,1990
1504,"{'type': 'Point', 'coordinates': [37.58605, 55.565738]}",364,330148.0,1990
1505,"{'type': 'Point', 'coordinates': [37.587281, 55.567153]}",107,194236.0,1990
1506,"{'type': 'Point', 'coordinates': [37.587236, 55.560779]}",458,315527.0,2005
1507,"{'type': 'Point', 'coordinates': [37.585601, 55.560586]}",286,264033.0,2005
1508,"{'type': 'Point', 'coordinates': [37.58517, 55.559817]}",162,327897.0,2004
1509,"{'type': 'Point', 'coordinates': [37.583724, 55.560163]}",272,319969.0,1994
1510,"{'type': 'Point', 'coordinates': [37.582745, 55.561105]}",206,360806.0,1994
1511,"{'type': 'Point', 'coordinates': [37.582313, 55.561976]}",182,251218.0,1995
1512,"{'type': 'Point', 'coordinates': [37.586176, 55.561232]}",161,301133.0,2003
